Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",0805,3,10uF,
C2,0805,1,1uF,
"C3, C6",0805,2,0.1uF,
D1,0805,1,D_Schottky,
D2,0805,1,LED,
"H1, H2",MountingHole_2.2mm_M2,2,MountingHole,
J1,PinSocket_1x05_P2.54mm_Horizontal,1,Conn_01x05,
P1,USB_C_Plug_Molex_105444,1,USB_C_Plug_USB2.0,
"R1, R5",0805,2,10k,
"R2, R3, R4",0805,3,5.1k,
R6,0805,1,120R,
R7,0805,1,20R,
SW1,SW_SPST_B3U-3000P,1,Reset,
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.5x1.5mm,4,TestPoint,
TP5,TestPoint_Pad_1.5x1.5mm,1,VBUS,
TP6,TestPoint_Pad_1.5x1.5mm,1,3.3V,
TP7,TestPoint_Pad_1.5x1.5mm,1,TX,
TP8,TestPoint_Pad_1.5x1.5mm,1,RX,
U1,ESP32-C3-MINI-1U,1,ESP32-C3-MINI-1,
U2,SOT-23-5,1,AP2112K-3.3,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U4,SOP-4_4.4x2.6mm_P1.27mm,1,FODM217D,
