Designator,Mid X,Mid Y,Rotation,Layer
C1,86.233,-95.59,0.0,top
C2,87.122,-100.584,90.0,top
C3,86.233,-97.79,180.0,top
C4,86.233,-91.44,0.0,top
C5,86.233,-93.472,0.0,top
C6,85.344,-112.141,0.0,top
D1,66.802,-88.891,90.0,top
D2,63.246,-114.164,90.0,top
J1,71.354,-106.172,90.0,top
P1,75.23,-88.374,0.0,top
R1,85.09,-100.584,270.0,top
R2,64.516,-88.9,270.0,top
R3,64.405,-91.948,0.0,bottom
R4,63.246,-110.347,270.0,top
R5,85.344,-110.109,0.0,top
R6,65.532,-101.489,270.0,top
R7,63.5,-101.6,90.0,top
SW1,85.852,-114.808,180.0,top
U1,76.53,-96.91,0.0,top
U2,84.9575,-88.34,0.0,top
U3,66.04,-95.899,270.0,top
U4,67.564,-112.014,90.0,top
